language,letters,id,letter,question,answer,trivia
Cymraeg,"A,B,C,Ch,D,Dd,E,F,Ff,G,Ng,H,I,J,L,Ll,M,N,O,P,Ph,R,Rh,S,T,Th,U,W,Y",a_01,A,Gwaith rhywun sy'n codi tai,,Something interesting
,,b_01,B,Rhywbeth sy'n cael ei fwyta amser cinio,,
,,c_01,C,C̢n sy'n cael ei chanu amser Nadolig,,
,,ch_01,Ch,Swm sy'n hanner hanner,,
,,d_01,D,Rhywbeth sy'n digwydd mewn clwb nos,,
,,dd_01,Dd,Yr anifail sy'n fam i'r oen,,
,,e_01,E,Anifail sy'n byw yn y jyngl,,
,,f_01,F,Dinas sy'n enwog am ei phontydd,,
,,ff_01,Ff,Gwlad sy dwrs nesaf i Sbaen,,
,,g_01,G,Ffrwythau sy'n goch neu'n wyrdd,,
,,ng_01,Ng,Yn y wlad sy'n llawn hen hanes,,
,,h_01,H,Rhywbeth sy ar y cownter mewn siop sglodion,,
,,i_01,I,Rhywbeth sy'n cadw diod yn oer,,
,,l_01,L,Rhywbeth sy'n ein deffro yn y bore,,
,,ll_01,Ll,Lle sy'n cadw llawer o llyfrau,,
,,m_01,M,Rhif sy'n fwy na chant,,
,,n_01,N,Gair sy ddim yn hen,,
,,o_01,O,Tywydd sy ddim yn boeth,,
,,p_01,P,Rhywbeth sy'n digwydd mewn siop,,
,,ph_01,Ph,Rhan o'i choes hi,,
,,r_01,R,Rhywbeth sy'n cael ei rhdeg,,
,,rh_01,Rh,Person sy'n gofalu am dim,,
,,s_01,S,Gwlad sy'n lle gwyliau poblogaidd,,
,,t_01,T,Diod sy'n dod o Dsieina,,
,,th_01,Th,Rhywun sy'n aelod agos o'i thelu hi,,
,,u_01,U,Rhywbeth sy'n cael ei fwyta amser brecwast,,
,,w_01,W,Rhywbeth sy'n cael ei fwyta ar dost,,
,,y_01,Y,Rhywbeth sy'n ddefnyddiol yn y glaw,,
